date,uri
2014-09-07,https://player.vimeo.com/video/58385453?portrait=0
2014-09-22,//www.youtube.com/embed/y4er-S_lNRs?rel=0
2014-10-05,//player.vimeo.com/video/25808333?title=0&byline=0&portrait=0
2014-10-13,//www.youtube.com/embed/i3StAXEbGSM?rel=0&controls=0
2014-10-22,//www.youtube.com/embed/J19vi8UPKck?rel=0&controls=0
2014-11-24,//www.youtube.com/embed/RrGPtCdItBw?rel=0
2014-12-08,//player.vimeo.com/video/108650530?title=0&byline=0&portrait=0&badge=0&color=ffffff
2015-01-12,http://www.stefanom.org/spc/
2015-03-24,https://www.youtube.com/embed/0fKBhvDjuy0?rel=0&controls=0
2015-04-14,https://www.youtube.com/embed/nTZQn19EwAU?rel=0&controls=0
2015-04-21,http://vestatrek.jpl.nasa.gov/
2015-05-27,https://www.youtube.com/embed/BX3vVBCcpN0?rel=0
2015-06-01,https://player.vimeo.com/video/128714112?color=ffffff&byline=0&portrait=0
2015-06-10,https://www.youtube.com/embed/6-hYSBghEn0?rel=0
2015-06-22,https://www.youtube.com/embed/aky9FFj4ybE?rel=0
2015-06-29,https://www.youtube.com/embed/BejRxZAa66E?rel=0
2015-07-18,https://www.youtube.com/embed/ydU-YrG_INk?rel=0
2015-07-22,https://www.youtube.com/embed/9Rl4l6tuHGg?rel=0
2015-09-27,https://www.youtube.com/embed/vKAw_wrIr5s?rel=0
2015-10-06,https://www.youtube.com/embed/gHwnkEIfNgs?rel=0
2015-10-20,https://www.youtube.com/embed/Qg6PwRI2uS8?rel=0
2015-10-28,https://www.youtube.com/embed/hu6hIhW00Fk?rel=0&showinfo=0
2015-11-02,https://www.youtube.com/embed/8L54gUQTqko?rel=0&showinfo=0
2015-11-09,https://www.youtube.com/embed/vgfWH3g9kpY?rel=0&showinfo=0
2015-12-02,https://www.youtube.com/embed/5iIR-vCXYOk?rel=0
2015-12-05,https://www.youtube.com/embed/_DnDeBa0KFc?rel=0
2015-12-22,https://player.vimeo.com/video/32095756?title=0&byline=0&portrait=0
2015-12-25,https://www.youtube.com/embed/zR3Igc3Rhfg?rel=0
2015-12-28,https://www.youtube.com/embed/ZCBE8ocOkAQ?rel=0
2016-02-09,https://www.youtube.com/embed/LqUUXw-OXWU?rel=0
2016-02-12,https://www.youtube.com/embed/I_88S8DWbcU?rel=0
2016-02-22,https://www.youtube.com/embed/lrMBzJcvtt0?rel=0
2016-03-06,https://www.youtube.com/embed/PBL1RBj-P1g?rel=0
2016-03-15,https://www.youtube.com/embed/EUlobrbSWwI?rel=0
2016-03-29,https://www.youtube.com/embed/ME_T4B1rxCg?rel=0
2016-04-05,https://www.youtube.com/embed/-I3X6hSOrhQ?rel=0
2016-05-09,https://www.youtube.com/embed/3LdZ_NftIh8?rel=0
2016-05-11,https://www.youtube.com/embed/8J4LoX3eOWc?rel=0
2016-05-30,https://www.youtube.com/embed/1vqlZiUYwKc?rel=0
2016-06-01,https://www.youtube.com/embed/jOmb-STnOg4?rel=0
2016-06-15,https://www.youtube.com/embed/XsA34rRHpuA?rel=0
2016-06-28,https://www.youtube.com/embed/A2fknqVk2yk?rel=0
2016-07-31,https://www.youtube.com/embed/XFyKnqhSn5s?rel=0
2016-08-02,https://www.youtube.com/embed/9nPLmydWacE?rel=0
2016-09-21,https://www.youtube.com/embed/jtQOAtiJq3o?rel=0
2016-09-26,https://www.youtube.com/embed/XORui0wFKnE?rel=0
2016-10-03,http://sci.esa.int/comet-viewer/
2016-10-10,https://earth.nullschool.net/
2016-10-17,https://www.youtube.com/embed/AG1pE90ue5w?rel=0&showinfo=0
2016-11-05,https://www.youtube.com/embed/DhmdyQdu96M?rel=0
2016-12-21,https://www.youtube.com/embed/ZS2FvljQXsk?rel=0
2017-01-16,https://www.youtube.com/embed/49w-veb3jSc?rel=0&showinfo=0
2017-02-01,https://www.youtube.com/embed/Zg9Y4g4e1mU?autoplay=1&loop=1&playlist=Zg9Y4g4e1mU
2017-02-21,https://www.youtube.com/embed/hkLRmQC7fR4?rel=0&showinfo=0
2017-03-19,https://www.youtube.com/embed/LUW51lvIFjg?rel=0&showinfo=0
2017-04-17,https://www.youtube.com/embed/p4xuA-OeaBc?rel=0&showinfo=0
2017-05-15,https://www.youtube.com/embed/vxJTQuWISbk
2017-05-23,https://www.youtube.com/embed/x_UaOhvLUYA
2017-05-31,https://www.youtube.com/embed/0821TZvcpcA?rel=0
2017-06-07,https://www.youtube.com/embed/9UHP28JiPeE?rel=0
2017-06-18,https://player.vimeo.com/video/24410924?color=000000&title=0&byline=0&portrait=0
2017-06-19,https://www.youtube.com/embed/F0_QKTwvRBQ?rel=0
2017-07-04,https://www.youtube.com/embed/dtY44sPNHcU?rel=0
2017-07-17,https://www.youtube.com/embed/9Vp2jUQ4rNM?rel=0
2017-07-31,https://www.youtube.com/embed/rJzKDbnXyH0?rel=0
2017-08-12,https://www.youtube.com/embed/lf0zfxbt7ds?rel=0
2017-08-14,https://www.youtube.com/embed/Zy9jIikX62o?rel=0
2017-08-20,https://player.vimeo.com/video/53641212?color=000000&title=0&byline=0&portrait=0
2017-08-26,https://www.youtube.com/embed/vX4cf19h7iA?rel=0
2017-09-10,https://www.youtube.com/embed/InIggUObhiY?rel=0;autoplay=1
2017-09-11,https://player.vimeo.com/video/11386048#t=0m58s?color=8BA0FF&portrait=0
2017-09-12,https://www.youtube.com/embed/5D9j-8Vhyto?rel=0&showinfo=0
2017-10-16,https://www.youtube.com/embed/x_Akn8fUBeQ?rel=0&showinfo=0
2017-11-26,https://www.youtube.com/embed/ZSt9tm3RoUU?rel=0
2017-11-27,https://www.youtube.com/embed/h1eRp0EGOmE?rel=0&showinfo=0
2017-12-03,https://player.vimeo.com/video/58385453?portrait=0&badge=0
2017-12-04,https://www.youtube.com/embed/dGVYC4UZQs8?rel=0
2017-12-11,https://www.youtube.com/embed/g-sk_cH6MXc?rel=0
2017-12-14,https://www.youtube.com/embed/uj3Lq7Gu94Y?rel=0
2017-12-20,https://www.youtube.com/embed/uIjNfZbUYu8?rel=0
2018-01-01,https://www.youtube.com/embed/6c0wTtq4xDM?rel=0
2018-01-22,https://www.youtube.com/embed/YKzxmeABbkU?rel=0&showinfo=0
2018-01-28,https://player.vimeo.com/video/25808333
2018-02-19,https://www.youtube.com/embed/a-NDdDlWIII?rel=0
2018-02-26,https://www.youtube.com/embed/OfM7VlonD5c?rel=0
2018-03-05,https://apod.nasa.gov/apod/image/1803/AstroSoM/hudf.html
2018-03-12,https://www.youtube.com/embed/zIqG42AD4Gw?rel=0
2018-03-18,https://www.youtube.com/embed/sNUNB6CMnE8?rel=0
2018-04-09,https://www.youtube.com/embed/1rZAA5SYLZU?rel=0
2018-04-16,https://www.youtube.com/embed/By6sZ6RGCEQ?rel=0
2018-04-24,https://apod.nasa.gov/apod/image/1804/saturn-harp/index.html
2018-04-29,//player.vimeo.com/video/108650530?title=0&byline=0&portrait=0&badge=0&color=ffffff
2018-05-21,https://www.youtube.com/embed/MBFloJLg080?rel=0
2018-05-27,https://www.youtube.com/embed/3Ghaf2du-XM?rel=0
2018-05-30,https://www.youtube.com/embed/btIGDkR3Tpo?rel=0
2018-06-04,https://www.youtube.com/embed/afHfMMC-MJE?rel=0
2018-06-12,https://www.youtube.com/embed/GoW8Tf7hTGA?rel=0
2018-06-18,https://www.youtube.com/embed/hmI5kHxJRfM?rel=0
2018-07-10,https://www.youtube.com/embed/8i8-IuYoz24?rel=0
2018-07-29,https://www.youtube.com/embed/FNHexFdacK0?rel=0
2018-08-08,https://www.meteorshowers.org/view/iau-7
2018-09-02,https://www.youtube.com/embed/vzh7udgtDKA?rel=0
2018-09-10,https://www.youtube.com/embed/lcJLZfPiyfc?rel=0
2018-09-12,https://www.youtube.com/embed/5Om7NbfUC6Y?rel=0
2018-09-18,https://www.youtube.com/embed/R60m1W7t1og?rel=0
2018-10-10,https://www.youtube.com/embed/hQFEHH5E69s?rel=0
2018-11-01,https://www.youtube.com/embed/tEPQ-DuSViQ?rel=0
2018-11-13,https://www.youtube.com/embed/O7Mphe4-zW0?rel=0
2018-11-20,https://www.youtube.com/embed/fdfD-Bj2RBE?rel=0
2018-11-26,https://www.youtube.com/embed/B1R3dTdcpSU?rel=0
2018-12-03,https://www.youtube.com/embed/soznvzSzdsc?rel=0
2018-12-08,https://www.youtube.com/embed/14TrSQQsrNM?rel=0
2018-12-23,https://www.youtube.com/embed/1R5QqhPq1Ik?rel=0
2019-01-08,https://www.youtube.com/embed/iRL268cXaqk?rel=0
2019-01-20,https://player.vimeo.com/video/284290238?portrait=0
2019-02-05,https://www.youtube.com/embed/c4TU3arrZR8?rel=0
2019-02-19,https://www.youtube.com/embed/cGfimZRZet8?rel=0
2019-02-24,https://www.youtube.com/embed/Pb_BN0F8FFM?rel=0
2019-02-26,https://www.youtube.com/embed/cNT5yAqpBmI?rel=0
2019-03-12,https://www.youtube.com/embed/-3hO58HFa1M?start=15
2019-03-20,https://www.youtube.com/embed/LUW51lvIFjg?rel=0&showinfo=0
2019-03-24,https://www.youtube.com/embed/jtQOAtiJq3o?rel=0
2019-04-10,https://www.youtube.com/embed/Ce21mE1nXaU?rel=0
2019-04-14,https://www.youtube.com/embed/I_88S8DWbcU?rel=0
2019-04-22,https://www.youtube.com/embed/rKBoYvVirwA?rel=0
2019-04-28,//www.youtube.com/embed/DmYK479EpQc?vq=hd720&rel=0
2019-05-06,https://www.youtube.com/embed/HBhqr0KkntQ?rel=0
2019-05-20,https://www.youtube.com/embed/my1euFQHH-o?rel=0
2019-05-26,https://www.youtube.com/embed/PBL1RBj-P1g?rel=0
2019-06-02,https://www.ustream.tv/embed/17074538?v=3&wmode=direct&autoplay=true
2019-06-30,https://www.youtube.com/embed/YYxPw_T8Vlk
2019-07-03,https://www.youtube.com/embed/t9-0p9KjHv8?rel=0
2019-07-10,https://www.youtube.com/embed/aiFD_LBx2nM?rel=0
2019-07-16,https://www.youtube.com/embed/yxer_vweB5g?rel=0
2019-07-17,https://www.youtube.com/embed/xc1SzgGhMKc?start=850
2019-08-20,https://www.youtube.com/embed/f8rs3bcEO-o?rel=0
2019-08-25,https://www.youtube.com/embed/rFDjAfwmWKM?rel=0
2019-09-03,https://www.youtube.com/embed/bQ9qcR-KCsA?rel=0
2019-09-08,https://www.youtube.com/embed/OfM7VlonD5c?rel=0
2019-10-01,https://www.youtube.com/embed/aMTwtb3TVIk
2019-10-21,https://www.youtube.com/embed/AhWMOkrzKzs?rel=0
2019-11-18,https://www.youtube.com/embed/_IQBSZsqjkU?rel=0
2019-12-02,https://www.youtube.com/embed/ofZTOxC9JQ4?rel=0
2019-12-09,https://www.youtube.com/embed/7w8szZ4TxCk?rel=0
2019-12-22,https://player.vimeo.com/video/32095756?title=0&byline=0&portrait=0
2019-12-23,https://www.youtube.com/embed/pvKEG141GmU?rel=0
2020-01-19,https://www.youtube.com/embed/qL1f40NPG8w?rel=0
2020-01-21,https://www.youtube.com/embed/hgzGET6owYk?rel=0
2020-02-03,https://www.youtube.com/embed/CCzl0quTDHw?rel=0
2020-02-23,https://www.youtube.com/embed/QSivvdIyeG4?rel=0
2020-02-25,https://www.youtube.com/embed/-N7nRh5v1Iw?rel=0
2020-03-03,https://www.youtube.com/embed/Ilifg26TZrI?rel=0
2020-03-15,https://www.youtube.com/embed/PpyPgJHKxSw?rel=0
2020-03-22,https://www.youtube.com/embed/afHfMMC-MJE?rel=0
2020-04-19,https://player.vimeo.com/video/11386048#t=0m58s?color=8BA0FF&portrait=0
2020-04-24,https://www.youtube.com/embed/aQ-cG_6WhDM?rel=0
2020-05-04,https://www.youtube.com/embed/zWFuCO7jyBk?rel=0
2020-05-18,https://www.youtube.com/embed/1qO6SG1HzyI
2020-06-03,https://www.youtube.com/embed/Cd5a5KdPxQc?rel=0
2020-06-14,https://www.youtube.com/embed/M6-iC_aYcug?rel=0
2020-06-15,https://www.youtube.com/embed/UJfpqSj7cCs?rel=0
2020-06-16,https://www.youtube.com/embed/bhJ0MotUblo?rel=0
2020-07-01,https://www.youtube.com/embed/re3oEKX6Fks?rel=0
